Word	Prefix	Stem	Tone	POS	Class	Gloss	No	Note	Dialect
baahe?	baa	he?	LLL	a.	2a	who? (pl.)	49		(K)
baahi?	baa	hi?	LLL	a.	2a	who? (pl.)	50		(A)
abaaho	aba	aho	LLLL	a.	2	of that place	51		
abaahure	aba	ahure	LHHLL	n.	2	(P) clergy(men)	52		(G)
baakaaka	baa	kaaka	LLHLL	n.	2a	'grannies'	53		(A)
baakanoni	baa	kanoni	LLHLL	n.	2a	canons (clergy)	54		
baakanyonyi	baa	kanyonyi	LLLLL	n.	2a	caretakers	55		
baakaraani	baa	karaani	LLLHLL	n.	2a	clerks	56		
baakareebi	baa	kareebi	LLLLLL	n.	2a	witnesses	57		
baakateta	baa	kateta	LLLLL	n.	2a	deaf and dumb people	58		
*baakijuga	baa	kijuga	LLLHL	n.	2a	dowry payers	59		
*baakikora	baa	kikora	LLLHL	n.	2a	workmen	60		
baakishwera	baa	kishwera	LLLHL	n.	2a	bridegrooms	61		
baakitabaarizibwa	baa	kitabaarizibwa	LLLLHHLLL	n.	2a	"defendants; the convicted, 'the prisoners'"	62		
baakitabaaza	baa	kitabaaza	LLLLHLL	n.	2a	prosecutors	63		
abaako	aba	ako	LLLL	a.	2	its	64		
abaakwo	aba	akwo	LLLL	a.	2	its	65		
baakyerubi	baa	kyerubi	LLLHL	n.	2a	"cherubs, cherubim"	66		
baakyetwara	baa	kyetwara	LLHHL	n.	2a	self-willed people	67		
abaakyo	aba	akyo	LLLL	a.	2	its	68		
baamaarimi	baa	maarimi	LLHHLL	n.	2a	my mother's brothers	69		
baamaarimiitwe	baa	maarimiitwe	LLHHLLLL	n.	2a	our mother's brothers	70		
baamaarume	baa	maarume	LLHHLL	n.	2a	my mother's brothers	71		(K)
baamaarumeitwe	baa	maarumeitwe	LLLLLHLL	n.	2a	our mother's brothers	72		(K)
baamaawe	baa	maawe	LLHLL	n.	2a	"my mothers, aunts"	73		
baamaaweitwe	baa	maaweitwe	LLLLHLL	n.	2a	"our mothers, aunts"	74		
baamaawenkuriitwe	baa	maawenkuriitwe	LLLLHHLLL	n.	2a	our grandmothers	75		
baamaawenkuru	baa	maawenkuru	LLLLHHL	n.	2a	my grandmothers	76		
baamaawento	baa	maawento	LLLLFL	n.	2a	my mother's brothers	77		
baanyinentobwo	baa	nyinentobwo	LLLHLL	n.	2a	(children's) mother's sisters	78		
baanyinentoko	baa	nyinentoko	LLLHLL	n.	2a	(child's) mother's sisters	79		
baanyoko	baa	nyoko	LLLL	n.	2a	"your mothers, elders"	80		
baanyokorome	baa	nyokorome	LLLLHL	n.	2a	your mother's brothers	81		(K)
baanyokoromeimwe	baa	nyokoromeimwe	LLLLHLLL	n.	2a	your (pl.) mother's brothers	82		(K)
baanyokoromi	baa	nyokoromi	LLLLHL	n.	2a	your mother's brothers	83		
baanyokoromiimwe	baa	nyokoromiimwe	LLLLHLLL	n.	2a	your (pl.) mother's brothers	84		
baanyokozaara	baa	nyokozaara	LLLLHLL	n.	2a	your mothers-in-law	85		
baanyokozaaraimwe	baa	nyokozaaraimwe	LLLLHHLLL	n.	2a	your (pl.) mothers-in-law	86		
baanyokwenkuriimwe	baa	nyokwenkuriimwe	LLLHHLLL	n.	2a	your (pl.) grandmothers	87		
baanyokwenkuru	baa	nyokwenkuru	LLLHHL	n.	2a	your grandmothers	88		
baanyokwento	baa	nyokwento	LLLFL	n.	2a	your mother's sisters	89		
baanyokwentoimwe	baa	nyokwentoimwe	LLLHLLL	n.	2a	your (pl.) mother's sisters	90		
abaanyu	aba	anyu	LHLL	n.	2	"your (people), yours"	91		
baaruhanga	baa	ruhanga	LLLHL	n.	2a	gods	92		
abaarwo	aba	arwo	LLLL	a.	2	its	93		
abaaryo	aba	aryo	LLLL	a.	2	its	94		
baasho	baa	sho	LLL	n.	2a	"your fathers, elders"	95		
baashoimwe	baa	shoimwe	LLHLL	n.	2a	"your (pl.) fathers, elders"	96		
baashozaara	baa	shozaara	LLHLLL	n.	2a	your fathers-in-law	97		
baashozaaraimwe	baa	shozaaraimwe	LLHLLLLL	n.	2a	your (pl.) fathers-in-law	98		
baashwenkazi	baa	shwenkazi	LLHHL	n.	2a	your father's sisters	99		
baashwenkaziimwe	baa	shwenkaziimwe	LLHHLLL	n.	2a	your (pl.) father's sisters	100		
baashwenkuriimwe	baa	shwenkuriimwe	LLHHLLL	n.	2a	your (pl.) grandfathers	101		
baashwenkuru	baa	shwenkuru	LLHHL	n.	2a	your grandfathers	102		
baashwento	baa	shwento	LLFL	n.	2a	your father's brothers	103		
baashwentoimwe	baa	shwentoimwe	LLHLLL	n.	2a	your ( pl.) father's brothers	104		
baasi!			HHL	i.		enough!	105		
"baasi, baasi"			HLLHHL	n.		bus(es)	106		
baasitaane	baa	sitaane	LLLHLL	n.	2a	"devils, false gods"	107		
baataata	baa	taata	LLHLL	n.	2a	"my fathers, elders (when addressing)"	108		
*baatata	baa	tata	LLHL	n.	2a	"my fathers, elders"	109		
baatataitwe	baa	tataitwe	LLLHLL	n.	2a	"our fathers, elders"	110		
baatatazaara	baa	tatazaara	LLLHLLL	n.	2a	my fathers-in-law	111		
baatatazaaraitwe	baa	tatazaaraitwe	LLLHLLLLL	n.	2a	our fathers-in-law	112		
baatatenkazi	baa	tatenkazi	LLLHHL	n.	2a	my father's sisters	113		
baatatenkaziitwe	baa	tatenkaziitwe	LLLHHLLL	n.	2a	our father's sisters	114		
abafukaani	aba	fukaani	LLLLLL	n.	2	wrestlers	115		
abafumu	aba	fumu	LLHL	n.	2	"doctors, medicine men"	116		
abafundi	aba	fundi	LLHL	n.	2	"artisans, skilled workers"	117		
abafuruki	aba	furuki	LLHLL	n.	2	re-settlers	118		
abafutafuta	aba	futafuta	LLLLHL	n.	2	interpreters	119		(A)
abafuuhi	aba	fuuhi	LLLLL	n.	2	inordinately jealous spouses	120		
abagaaniizi	aba	gaaniizi	LLLLLLL	n.	2	talkers; (A) teasers	121		
abagabaguzi	aba	gabaguzi	LLLLLL	n.	2	spendthrifts	122		
abagabe	aba	gabe	LLLL	n.	2	kings	123		
abagabekazi	aba	gabekazi	LLLLLL	n.	2	queens regnant	124		
abagabi	aba	gabi	LLLL	n.	2	"givers, bringers"	125		
abagabukye	aba	gabukye	LLLHL	n.	2	brides	126		
abagabuzi	aba	gabuzi	LLLLL	n.	2	"masters of ceremonies, distributors of food"	127		
Abagaidi	aba	gaidi	LLHLL	n.	2	Girl Guides	128		
abagaiga	aba	gaiga	LLHLL	n.	2	the rich	129		(G)
abagambagambi	aba	gambagambi	LLLLLL	n.	2	chatter-boxes	130		
abagambi	aba	gambi	LLLL	n.	2	"preachers, speakers"	131		
abagambirizi	aba	gambirizi	LLLLLL	n.	2	interpreters	132		
abagambisibwa	aba	gambisibwa	LLLHLL	n.	2	gossips	133		
abagambuuzi	aba	gambuuzi	LLLLLL	n.	2	backbiters	134		
Abaganda	aba	ganda	LLHL	n.	2	the Baganda	135		
abagani	aba	gani	LLLL	n.	2	story-tellers	136		
abaganyi	aba	ganyi	LLHL	n.	2	mourners	137		
abagara	aba	gara	LLLL	n.	2	lazy people	138		
abagaragwa	aba	garagwa	LLLHL	n.	2	"courtiers, ministers, retainers"	139		
abagayi	aba	gayi	LLLL	n.	2	scorners	140		
abagirimu	aba	girimu	LLLLL	v.	2	those who are in it	141		
abagirwa	aba	girwa	LLLL	n.	2	pagan priests	142		
abagobya	aba	gobya	LLHL	n.	2	profiteers; pilferers	143		
abagogozi	aba	gogozi	LLHLL	n.	2	impassive people	144		
abagoma	aba	goma	LLLL	n.	2	drummers	145		
abagomi	aba	gomi	LLLL	n.	2	rebels	146		
Abagooha	aba	gooha	LLHLL	n.	2	Goans	147		
abagore	aba	gore	LLHL	n.	2	bridal pair; young wives	148		
bagore	ba	gore	LHL	n.	2	mistresses (of)	149		
abagoyi	aba	goyi	LLHL	n.	2	boatmen; stirrers (of millet)	150		
abagufu	aba	gufu	LLHL	a.	2	short (people)	151		
abagumisiriza	aba	gumisiriza	LLLHLLL	n.	2	patient people	152		
abagumuya	aba	gumuya	LLLLL	n.	2	misers	153		
abaguriki	aba	guriki	LLLLL	n.	2	mesmerisers	154		
abaguruki	aba	guruki	LLLLL	n.	2	"jumpers, fliers"	155		
abagurusi	aba	gurusi	LLLHL	n.	2	old men	156		
abaguruzi	aba	guruzi	LLLLL	n.	2	liers-in-wait	157		
abagurwa	aba	gurwa	LLHL	n.	2	slaves	158		
*abaguza	aba	guza	LLHL	n.	2	money-lenders	159		
abaguzi	aba	guzi	LLLL	n.	2	"buyers, traders"	160		
abaguzibwa	aba	guzibwa	LLLLL	n.	2	borrowers of money	161		
abagwa-iraro	aba	gwa-iraro	LLHHLL	n.	2	lunatics	162		
abagwejegyezi	aba	gwejegyezi	LLLLLL	n.	2	sleepers	163		
abagwezi	aba	gwezi	LLLL	n.	2	liers-in-wait	164		
abagyemi	aba	gyemi	LLLL	n.	2	pipefillers	165		
abagyemuzi	aba	gyemuzi	LLLLL	n.	2	bringers of food or milk	166		
abagyendagyenzi	aba	gyendagyenzi	LLLLLL	n.	2	"wanderers, hikers"	167		
Bagyendanwa			LLHL	n.		one of the coronation drums	168		(A)
abagyengi	aba	gyengi	LLLL	n.	2	surgeons	169		
abahoozi	aba	hoozi	LLLLL	n.	2	avengers	170		
Abahororo	aba	hororo	LLHLL	n.	2	the Bahororo	171		
abahotozi	aba	hotozi	LLHLL	n.	2	stirrers	172		
abahungi	aba	hungi	LLLL	n.	2	refugees	173		
abahunguzi	aba	hunguzi	LLLLL	n.	2	heirs	174		
abahuriire	aba	huriire	LHLLLL	a.	2	living (people)	175		
abahurikiza	aba	hurikiza	LLHLLL	n.	2	listeners	176		(A)
abahurikizi	aba	hurikizi	LLHLLL	n.	2	listeners	177		(K)
abahuruzi	aba	huruzi	LLLLL	n.	2	warriors	178		
abahuta	aba	huta	LLLL	n.	2	the wounded; injured	179		(A)
abahutaire	aba	hutaire	LLLLLL	n.	2	the wounded; injured	180		(K)
Abahutu	aba	hutu	LLHL	n.	2	the Bahutu of Ruanda	181		
abahuuku	aba	huuku	LLHHL	n.	2	slaves	182		
abahuumuza	aba	huumuza	LLHHLL	n.	2	comforters	183		
abahuuru	aba	huuru	LLLLL	n.	2	bachelors	184		
abahuuzi	aba	huuzi	LLHLL	n.	2	threshers	185		
abahuzi	aba	huzi	LLHL	n.	2	those addicted	186		
abahwa-nshoni	aba	hwa-nshoni	LLLHL	n.	2	naughty	187		
abahwerize	ab	ahwerize	LHLLL	a.	2	clever	188		
abahwezi	aba	hwezi	LLLL	n.	2	helpers	189		
baiba	ba	iba	HHL	n.	2a	husbands	190		
baibabo	ba	ibabo	LLHL	n.	2a	their husbands	191		
baibanyiitwe	ba	ibanyiitwe	LLHLLL	n.	2a	our husbands	192		
abaibi	ab	aibi	LHLL	n.	2	thieves	193		
abaibizi	aba	ibizi	LLLLL	n.	2	divers	194		
Baiburi		baiburi	HHLL	n.		Bible(s)	195		
abaigarire	aba	igarire	LLLHLL	n.	2	queen consorts	196		(A)
abaigi b'enjura	aba	igi b'enjura	LHLLHLL	n.	2	rainmakers	197		
abaigutsi	aba	igutsi	LHHLL	n.	2	(people) satisfied with food	198		
abaihuza	aba	ihuza	LHHLL	n.	2	creditors	199		
abaihwa	aba	ihwa	LHLL	n.	2	sister's children	200		
abaijaija	aba	ijaija	LLLLLL	n.	2	newcomers	201		
abaijukuru	aba	ijukuru	LHHLLL	n.	2	"grandchildren, descendants"	202		
abaijwire	aba	ijwire	LHHLL	n.	2	(people) full of	203		
abaikiriza	aba	ikiriza	LLLHLL	n.	2	believers	204		
abaimi	aba	imi	LHLL	n.	2	"misers, mean people"	205		
abainazi	aba	inazi	LHHLL	n.	2	orphans	206		
abaine	aba	ine	LLLL	v.	2	who/they have	207		
abaingi	aba	ingi	LHLL	a.	2	many (people)	208		
*baingiho	ba	ingiho	HHHL	a.	2	several (people)	209		
abainginya	aba	inginya	LLLHL	n.	2	"royalty, princes"	210		
Abairaguju	ab	airaguju	LHHLLL	n.	2	Africans	211		
abairu	ab	airu	LHLL	n.	2	peasants	212		
abairuki	ab	airuki	LHHLL	n.	2	runners	213		
baishabadiikoni	ba	ishabadiikoni	LLHLHHLL	n.	2a	archdeacons	214		
baishabarabirizi	ba	ishabarabirizi	LLHLLLLL	n.	2a	(P) archbishops	215		(G)
baishabareeberezi	ba	ishabareeberezi	LLHLLLLLL	n.	2a	(P) archbishops	216		
baishabeepiskopi	ba	ishabeepiskopi	LLHLLHLL	n.	2a	(RC) archbishops	217		
baishe	ba	ishe	HHL	n.	2a	"(his/her) fathers, elders"	218		
baishebo	ba	ishebo	LLHL	n.	2a	their fathers	219		
baishebwo	ba	ishebwo	LLHL	n.	2a	(children's) fathers	220		
baisheko	ba	isheko	LLHL	n.	2a	(child's) elders	221		
baishenkazi	ba	ishenkazi	LLHHL	n.	2a	(his/her) father's sisters	222		
baishenkazibo	ba	ishenkazibo	LLHHLL	n.	2a	their father's sisters	223		
abakirimu	aba	kirimu	LLLLL	v.	2	those who are in it	224		
abakomezi	aba	komezi	LLLLL	n.	2	"sowers (of beans, etc.)"	225		
abakondere	aba	kondere	LLLHL	n.	2	trumpeters	226		
abakondoozi	aba	kondoozi	LLHLLL	n.	2	sweepers	227		(K)
abakoni	aba	koni	LLLL	n.	2	horn-cutters	228		
Abakonjo	aba	konjo	LLHL	n.	2	the Bakonjo	229		
abakonwa	aba	konwa	LLHL	n.	2	eunuchs	230		
Abakooki	aba	kooki	LLLLL	n.	2	"Baganda settlers, esp. in Isingiro"	231		
abakookoro	aba	kookoro	LLLLHL	n.	2	sufferers from syphilitic septicaemia	232		
abakopi	aba	kopi	LLHL	n.	2	the poor	233		(G)
abakoreesa	aba	koreesa	LLLHHL	n.	2	"foremen, overseers"	234		(K)
abakoresa	aba	koresa	LLHLL	n.	2	"foremen, overseers"	235		
abakozi	aba	kozi	LLHL	n.	2	"workers, doers"	236		
Abakristaayo	aba	kristaayo	LLLHLL	n.	2	Christians	237		
abakumirizi	aba	kumirizi	LLHLLL	n.	2	doorkeepers	238		
abakundi	aba	kundi	LLLL	n.	2	young babies	239		
abakundwa	aba	kundwa	LLFL	n.	2	"beloved ones, popular"	240		
abakuuneetsi	aba	kuuneetsi	LLLLLLL	n.	2	scoffers	241		(A)
abakungu	aba	kungu	LLHL	n.	2	"retainers, saza chiefs, assistants to muluka chiefs"	242		
abakunuzi	aba	kunuzi	LLLLL	n.	2	misers	243		
abakunzi	aba	kunzi	LLFL	n.	2	friends	244		
abakuratizi	aba	kuratizi	LLHLLL	n.	2	followers	245		
ebakuri	e	bakuri	LLHL	n.	9?	"dish(es), basin(s)"	246		
abakuru	aba	kuru	LLHL	"n.., a."	2	"seniors, elders; old, important people"	247		
abakuuki b'amaino	aba	kuuki b'amaino	LLHLLHHLL	n.	2	toothless people	248		
abakuza	aba	kuza	LLHL	n.	2	guardians	249		
abakuzire	aba	kuzire	LHLLL	a.	2	"grown-up, adult (people)"	250		
abakwatirizi	aba	kwatirizi	LLHLLL	n.	2	supporters	251		
abakwatsi	aba	kwatsi	LLFL	n.	2	helpers; captors; goal-keepers	252		
abakwatwa	aba	kwatwa	LLFL	n.	2	captives	253		
abakwe	aba	kwe	LHL	n.	2	brothers-in-law; sons-in-law; wedding guests	254		
abakyara	aba	kyara	LLFL	n.	2	ladies; the Misses; wives	255		(G)
abakye	aba	kye	LHL	a.	2	"small, thin; a few; few (people)"	256		
abakyebezi	aba	kyebezi	LLHLL	n.	2	"examiners, critics"	257		(G)
abamaasi	aba	maasi	LLLLL	n.	2	marksmen	258		
ab'amabanja	ab' ama	banja	LHLFL	n.	2	debtors	259		
ab'amagomborora	ab' ama	gomborora	LHLLLLL	n.	2	gombolola chiefs	260		
abamanyi	aba	manyi	LLLL	n.	2	"acquaintances, experts"	261		
abamanyisa	aba	manyisa	LLLHL	n.	2	exponents	262		
ab'amashaza	ab	'amashaza	LHLLL	n.	2	saza chiefs	263		
Abamba	aba	mba	LLL	n.	2	the Bamba	264		
abambari	aba	mbari	LLLL	n.	2	soldiers of the warrior clan; mixed farmers	265		
bambe!			HL	i.		dear me!	266		
abambuti	aba	mbuti	LLLL	n.	2	pigmies	267		
abambuzi	aba	mbuzi	LLLL	n.	2	thieves	268		
Abamisri	aba	misri	LLHL	n.	2	Egyptians	269		
abamizi	aba	mizi	LLLL	n.	2	gobblers	270		
abamungi	aba	mungi	LLLL	n.	2	bone-setters	271		(K)
abamuriki	aba	muriki	LLLLL	n.	2	torchbearers	272		
abamwe	aba	mwe	LHL	a.	2	"some, other (people)"	273		
abanyakyaro	aba	nyakyaro	LLLLL	n.	2	villagers	274		
abanyambabazi	aba	nyambabazi	LLLHLL	n.	2	kind people	275		
abanyampara	aba	nyampara	LLLLL	n.	2	headmen	276		
abanyamururu	aba	nyamururu	LLLLLL	n.	2	greedy people	277		
abanyamurwa	aba	nyamurwa	LLLLL	n.	2	hermits; Jewish priests	278		
abanyamwoga	aba	nyamwoga	LLLLL	n.	2	experts	279		
abanyangoga	aba	nyangoga	LLLLL	n.	2	smart people	280		
abanyanjara	aba	nyanjara	LLLLL	n.	2	hungry people	281		
Abanyankore	aba	nyankore	LLLHL	n.	2	the Banyankore	282		
abanyansheko	aba	nyansheko	LLLLL	n.	2	jolly people	283		
abanyaruhanga	aba	nyaruhanga	LLLLLL	n.	2	villagers	284		
Abanyarwanda	aba	nyarwanda	LLLLL	n.	2	the Banyaruanda	285		
abanyarwango	aba	nyarwango	LLLFL	n.	2	misanthropists	286		
abanyarwanju	aba	nyarwanju	LLLLL	n.	2	halfwits; (K) quarrelsome people	287		(A)
abanyarwari	aba	nyarwari	LLLFL	n.	2	chatterboxes	288		
abanyeete	aba	nyeete	LLHLL	n.	2	stout people	289		(A)
Abanyoro	aba	nyoro	LLLL	n.	2	the Banyoro	290		(K)
Abanyoro	aba	nyoro	LLHL	n.	2	the Banyoro	291		(A)
abanyoro	aba	nyoro	LLHL	n.	2	syphilitics	292		
abanyuuki	aba	nyuuki	LLLLL	n.	2	banana treaders	293		
abanywani	aba	nywani	LLFL	n.	2	blood-brothers; abanyw‰ni b'‡handa: close friends	294		
abanywi	aba	nywi	LHL	n.	2	drinkers	295		
abanywisa	aba	nywisa	LLFL	n.	2	beer-givers; (A) royal nursemaids	296		
abapakasi	aba	pakasi	LLHLL	n.	2	labourers	297		
abapakazi	aba	pakazi	LLHLL	n.	2	labourers	298		(K)
abapangisa	aba	pangisa	LLLLL	n.	2	passengers	299		
Abaperusi	aba	perusi	LLLLL	n.	2	Persians	300		
abapuriisi	aba	puriisi	LLLHLL	n.	2	the police	301		
ebaraafu	e	baraafu	LLLLL	n.	9/10?	refrigerator(s)	302	< Sw.	
abaraara	aba	raara	LLHHL	n.	2	slack people	303		
abaraazi	aba	raazi	LLHLL	n.	2	trackers; overnight guests	304		
abarabirizi	aba	rabirizi	LLLLLL	n.	2	(P) bishops	305		(G)
abaragi	aba	ragi	LLLL	n.	2	testators	306		
abaragirizi	aba	ragirizi	LLLLLL	n.	2	"instructors, commanders"	307		
abaraguza	aba	raguza	LLLHL	n.	2	oracle consulters	308		
abaraguzi	aba	raguzi	LLLLL	n.	2	diviners	309		
abaragwa-ngoma	aba	ragwa-ngoma	LLLLLL	n.	2	new kings	310		
barahe?	ba	rahe	LLL	v.		where are they?	311		(K)
barahi?	ba	rahi	LLL	v.		where are they?	312		
abaraingwa	aba	raingwa	LLHHL	a.	2	tall (people)	313		
abarambuzi	aba	rambuzi	LLHLL	n.	2	"inspectors, supervisors"	314		
abaramu	aba	ramu	LLHL	n.	2	"brothers-, sisters-in-law"	315		
abaramuzi	aba	ramuzi	LLLLL	n.	2	judges	316		(G)
abaranga	aba	ranga	LLFL	n.	2	maidservants	317		
abarangi	aba	rangi	LLFL	n.	2	announcers; (RC) prophets	318		
Abarasha	aba	rasha	LLHL	n.	2	Russians	319		
abarasi	aba	rasi	LLHL	n.	2	archers; artillery	320		
eBaraza	e	Baraza	LLHL	n.	9?	verandah(s); pow-wow(s)	321		
abareeberezi	aba	reeberezi	LLLLLLL	n.	2	(P) bishops	322		
abareebi	aba	reebi	LLLLL	n.	2	witnesses	323		
abareegi	aba	reegi	LLLLL	n.	2	"soloists, cantors"	324		
abareetsi	aba	reetsi	LLHFL	n.	2	proposers; bringers; smokers	325		
abaregi	aba	regi	LLHL	n.	2	"accusers, tale-bearers"	326		
abashaki	aba	shaki	LLLL	n.	2	foragers	327		
abashambani	aba	shambani	LLLLL	n.	2	adulterers; fornicators	328		
abashambi	aba	shambi	LLLL	n.	2	footballers; kickers	329		
abashanzire	aba	shanzire	LLLLL	n.	2	wife's sisters' husbands	330		
abashatu	aba	shatu	LLLL	a.	2	(the) three (people)	331		
abashatuzi	aba	shatuzi	LLHLL	n.	2	choppers of wood	332		
abashaza	aba	shaza	LLLL	n.	2	senior diviners	333		(A)
abashazi	aba	shazi	LLLL	n.	2	lunatics	334		
abashazi	aba	shazi	LLHL	n.	2	cutters	335		
abashebashebe	aba	shebashebe	LLLHLL	n.	2	girls not yet adolescent	336		
abasheegi	aba	sheegi	LLLLL	n.	2	"paupers, beggars"	337		
abasheegu	aba	sheegu	LLHLL	n.	2	flautists	338		
abasheenyi	aba	sheenyi	LLHLL	n.	2	gatherers of sticks	339		
abashekyerezi	aba	shekyerezi	LLLLLL	n.	2	mockers	340		
abashema	aba	shema	LLLL	n.	2	fools	341		
abashembeezi	aba	shembeezi	LLHLLL	n.	2	lodgers	342		
abashembi	aba	shembi	LLLL	n.	2	dressers (medicine); rearguards	343		
abashemereirwe	aba	shemereirwe	LHLLLLL	a.	2	happy (people)	344		
abashemeza	aba	shemeza	LLHLL	n.	2	refiners	345		
abashengi	aba	shengi	LLLL	n.	2	settlers	346		
abasheruzi	aba	sheruzi	LLLLL	n.	2	seekers	347		
abashoberwa	aba	shoberwa	LLLHL	n.	2	perplexed people	348		
abashoborozi	aba	shoborozi	LLLLLL	n.	2	authorities	349		
Abashoga	aba	shoga	LLHL	n.	2	the Basoga	350		
abashomesa	aba	shomesa	LLLHL	n.	2	teachers	351		
abashomesakazi	aba	shomesakazi	LLLHLLL	n.	2	school-mistresses	352		
abashomi	aba	shomi	LLLL	n.	2	readers; pupils; members of a congregation; (A) cattle-thieves	353		
abashongore	aba	shongore	LLLHL	n.	2	polite people; favourites	354		
abashooromi	aba	shooromi	LLLLLL	n.	2	pickers	355		
abashoresa	aba	shoresa	LLLHL	n.	2	tax-collectors	356		
abashorooza	aba	shorooza	LLLHLL	n.	2	tax-collectors	357		
abashozi	aba	shozi	LLLL	n.	2	tax-payers; (A) players of the game ekishoro	358		
abashubiro	aba	shubiro	LLHLL	n.	2	second children	359		
abashuhuuki	aba	shuhuuki	LLLLLL	n.	2	exiles; emigrants	360		(K)
abashuma	aba	shuma	LLHL	n.	2	"thieves, coveters"	361		
abashumba	aba	shumba	LLLL	n.	2	employees; cowherds; (P) pastors	362		
abashumbakazi	aba	shumbakazi	LLLLLL	n.	2	women who have married often	363		
abashutuzi	aba	shutuzi	LLHLL	n.	2	carriers	364		
abashuubuzi	aba	shuubuzi	LLLLLL	n.	2	traders	365		
abashuuhuuki	aba	shuuhuuki	LLLLLLL	n.	2	exiles; emigrants	366		(A)
abashuuzi	aba	shuuzi	LLLLL	n.	2	those who visit the lonely	367		
Abashwahiri	aba	shwahiri	LLLHL	n.	2	the Swahili	368		
abashwijumi	aba	shwijumi	LLLLL	n.	2	examiners	369		
abasi	aba	si	LLL	n.	2	grinders	370		
basi!			LL	i.		enough!	371		
abasibe	aba	sibe	LLHL	n.	2	prisoners	372		(K)
abasigambwa	aba	sigambwa	LLLHL	n.	2	young sprinters	373		(K)
abategyeki	aba	tegyeki	LLHLL	n.	2	"rulers, controllers"	374		
abatembeya	aba	tembeya	LLLLL	n.	2	pedlars	375		
abatembi	aba	tembi	LLLL	n.	2	"riders, climbers"	376		
abatembuuzi	aba	tembuuzi	LLLLLH	n.	2	those building in a new place	377		
abatemi	aba	temi	LLHL	n.	2	fellers; slashers (of grass)	378		
abatendeki	aba	tendeki	LLHLL	n.	2	instructors	379		
abatendekwa	aba	tendekwa	LLHLL	n.	2	pupils	380		
abateruzi	aba	teruzi	LLHLL	n.	2	"those removing food from the fire, 'servers'"	381		
abatetsi	aba	tetsi	LLHL	n.	2	spoilt children	382		
bati	ba	ti	LL	a.	2	(they are/do) like this; they say/said	383		
abatigi	aba	tigi	LLLL	n.	2	obstinate people	384		
abatiini	aba	tiini	LLHLL	n.	2	fearful people	385		
abatiizi	aba	tiizi	LLLLL	n.	2	lenders (of things other than money)	386		
abatimbo	aba	timbo	LLLL	n.	2	drummers	387		(A)
